2024/02/09 1:00:10 PM PST,Awysu,"Fuyo? this little green thing that you can almost always see on my desktop? She is cute little hard working brat, always makes my day brighter and no matter how bad it is, I'm always smiling when i watch her, but i would never tell her that, acting all lovey dovey is not my thing, i shall just joke around and enjoy her content, and i wouldn't have it any other way",https://twitter.com/awysu_kun/status/1708384732533195065
2024/02/09 1:19:54 PM PST,Firebreath,"Hi Fuyo, it is nearly a year ago since I found you and thought ""Funny little green thing, I should check out her streams"" since then I watched all streams live when the time allowed me too. You are the first person I can wholeheartedly say, you´re my Oshi and nothing can change that. I wish you a nice Valantines day and hope you think about the lucky charms ;)",https://files.catbox.moe/gaa2s8.jpg
2024/02/09 1:39:08 PM PST,Shiru kazuky,"Fuyo wherever life takes you, always believe in yourself and know that you are loved. It is a great joy for us to have you in our lives. Happy valentine's day 💚",
2024/02/09 1:49:29 PM PST,Purtu,"I might not be the most avid watcher but whenever I watch the streams I really enjoy them! I just genuinely love this little goofy green thing, mainly when she's being a force of chaos. Also, Have fun in your goon cave!",
2024/02/09 4:48:24 PM PST,DWraith23,"Take a bath, brat.",https://media-cdn.tripadvisor.com/media/photo-s/07/5a/08/27/bathtub-filled-with-water.jpg
2024/02/10 12:15:42 AM PST,Herbie Cucumber,please answer quickly I think I need to go to a hospital,https://files.catbox.moe/qbmul4.jpg
2024/02/10 4:08:15 AM PST,Nutella,"Happy Valentines Fuyu! 💚 I never thought I would like a stinky green leprechaun so much. I’m really happy I found idol, it feels like a second home. I have a great hanging out with you and the other lucky charms. 
Love you Fuyu",
2024/02/10 8:45:40 AM PST,Necrozma,"Happy Valentines Fuyo! I wanted to use this day to share back some of the love you give us, your streams are always a happy and comfy place, you mean a lot to us lucky charms! I also got you some chocolate as is tradition, I don't know what kind I bought, so I hope it's good!",https://imgur.com/3gLHD1O
2024/02/10 8:53:22 AM PST,Yann,"Yo Yo Yo Hi Fuyo!  I came here to say that I appreciate all the love and effort you put on your projects, they are all creative, memorable and fun! I'm so glad to have found you and have you as my favorite streamer! I wish we can spend a lot more years together and luckycharms will be here to correct you when needed(everytime). Dont ever forget Fuyo, we love you as much as you love us, maybe even more! Happy Birthday Lil Green thing!  PS: GIVE ME MY WALLET BACK OR I'LL THROW YOU IN THE MIDDLE OF THE OCEAN WITH A LOT OF UNDERWATER TENTACLES!",
2024/02/10 9:13:37 AM PST,Noah,"Love you Green Thing, happy Valentines day! Hope you get enough Smooch's this Valentines day",
2024/02/10 10:09:01 AM PST,b,"Hey Fuyo, are you The Police? Cause with every wallet you take, every stream where you're late, every tweet you make, I'll be watching you ʘ_ʘ Creepiness aside, have a great Valentines Day :D",
2024/02/10 2:38:18 PM PST,EB,Beijinhos beijocas na sua bochecha fedorenta,https://photos.app.goo.gl/6ztffzSiC85RgNEm6
2024/02/10 2:39:39 PM PST,That Guy Raz,"Happy Valentine's Fuyo! Wanna go eat some pastéis de nata with us amuletos da sorte? Just don’t forget our Fuyonade! And remember, We LOVE you Frito~!",https://files.catbox.moe/0b6bj8.png
2024/02/11 1:43:22 AM PST,,I wake up early on weekends and stop playing the latest hype games to catch your streams. I literally have no better way of expressing how much I look forward to spending time with you.,
